Nombre,Plataforma,Fecha_Salida,Score,Score_Jugadores,Desarrollador,Genero,Jugadores,Criticos,Usuarios,Anio,Mes,Numero_Dia,Nombre_Dia,Lista_Generos
The Legend of Zelda: Ocarina of Time,Nintendo64,1998-11-23,99,91.0,Nintendo,"actionadventure,fantasy",1,22,5749,1998,11,23,Lun,"['fantasy', 'actionadventure']"
Tony Hawk's Pro Skater 2,PlayStation,2000-09-20,98,74.0,NeversoftEntertainment,"sports,alternative,skateboarding",2,19,647,2000,9,20,Mie,"['alternative', 'sports', 'skateboarding']"
Grand Theft Auto IV,PlayStation3,2008-04-29,98,76.0,RockstarNorth,"actionadventure,modern,modern,open-world",1,64,3806,2008,4,29,Mar,"['open-world', 'actionadventure', 'modern']"
SoulCalibur,Dreamcast,1999-09-08,98,85.0,Namco,"action,fighting,3d",2,24,324,1999,9,8,Mie,"['fighting', 'action', '3d']"
Grand Theft Auto IV,Xbox360,2008-04-29,98,79.0,RockstarNorth,"actionadventure,modern,modern,open-world",1,86,3364,2008,4,29,Mar,"['open-world', 'actionadventure', 'modern']"
Super Mario Galaxy,Wii,2007-11-12,97,90.0,Nintendo,"action,platformer,platformer,3d,3d",1,73,3059,2007,11,12,Lun,"['3d', 'action', 'platformer']"
Super Mario Galaxy 2,Wii,2010-05-23,97,91.0,NintendoEADTokyo,"action,platformer,platformer,3d,3d",1,87,2521,2010,5,23,Dom,"['3d', 'action', 'platformer']"
Red Dead Redemption 2,XboxOne,2018-10-26,97,78.0,RockstarGames,"actionadventure,open-world",>4,33,3186,2018,10,26,Vie,"['open-world', 'actionadventure']"
Grand Theft Auto V,XboxOne,2014-11-18,97,78.0,RockstarNorth,"actionadventure,modern,open-world",>4,14,1285,2014,11,18,Mar,"['open-world', 'actionadventure', 'modern']"
Grand Theft Auto V,PlayStation3,2013-09-17,97,83.0,RockstarNorth,"modern,actionadventure,modern,open-world",>4,50,4568,2013,9,17,Mar,"['open-world', 'actionadventure', 'modern']"
Grand Theft Auto V,Xbox360,2013-09-17,97,83.0,RockstarNorth,"modern,actionadventure,modern,open-world",>4,58,3905,2013,9,17,Mar,"['open-world', 'actionadventure', 'modern']"
Tony Hawk's Pro Skater 2,Dreamcast,2000-11-06,97,62.0,Treyarch,"sports,alternative,skateboarding",No info,18,88,2000,11,6,Lun,"['alternative', 'sports', 'skateboarding']"
The Legend of Zelda: Breath of the Wild,Switch,2017-03-03,97,86.0,Nintendo,"actionadventure,open-world",1,109,15873,2017,3,3,Vie,"['open-world', 'actionadventure']"
Tony Hawk's Pro Skater 3,PlayStation2,2001-10-28,97,76.0,NeversoftEntertainment,"sports,alternative,skateboarding",2,34,406,2001,10,28,Dom,"['alternative', 'sports', 'skateboarding']"
Perfect Dark,Nintendo64,2000-05-22,97,89.0,RareLtd.,"action,shooter,first-person,sci-fi",No info,30,420,2000,5,22,Lun,"['shooter', 'first-person', 'action', 'sci-fi']"
Red Dead Redemption 2,PlayStation4,2018-10-26,97,84.0,RockstarGames,"actionadventure,open-world",>4,99,14315,2018,10,26,Vie,"['open-world', 'actionadventure']"
Grand Theft Auto V,PlayStation4,2014-11-18,97,84.0,RockstarNorth,"actionadventure,modern,open-world",>4,66,5899,2014,11,18,Mar,"['open-world', 'actionadventure', 'modern']"
Metroid Prime,GameCube,2002-11-17,97,92.0,RetroStudios,"action,shooter,first-person,sci-fi",1,70,1113,2002,11,17,Dom,"['shooter', 'first-person', 'action', 'sci-fi']"
Grand Theft Auto III,PlayStation2,2001-10-22,97,84.0,DMADesign,"actionadventure,modern",1,56,881,2001,10,22,Lun,"['actionadventure', 'modern']"
Super Mario Odyssey,Switch,2017-10-27,97,89.0,Nintendo,"action,platformer,3d",1,113,5546,2017,10,27,Vie,"['3d', 'action', 'platformer']"
Halo: Combat Evolved,Xbox,2001-11-14,97,85.0,BungieSoftware,"action,shooter,first-person,sci-fi",4,68,2052,2001,11,14,Mie,"['shooter', 'first-person', 'action', 'sci-fi']"
NFL 2K1,Dreamcast,2000-09-07,97,64.0,VisualConcepts,"sports,traditional,football,sim",No info,22,67,2000,9,7,Jue,"['sports', 'sim', 'football', 'traditional']"
Half-Life 2,PC,2004-11-16,96,91.0,ValveSoftware,"action,shooter,shooter,first-person,sci-fi,sci-fi,arcade",1,81,10773,2004,11,16,Mar,"['sci-fi', 'first-person', 'shooter', 'arcade', 'action']"
Grand Theft Auto V,PC,2015-04-13,96,78.0,RockstarNorth,"modern,actionadventure,open-world",>4,57,6661,2015,4,13,Lun,"['open-world', 'actionadventure', 'modern']"
The Legend of Zelda: Breath of the Wild,WiiU,2017-03-03,96,82.0,Nintendo,"fantasy,fantasy,actionadventure,open-world",1,13,2245,2017,3,3,Vie,"['fantasy', 'open-world', 'actionadventure']"
BioShock,Xbox360,2007-08-21,96,89.0,"IrrationalGames,2KMarin","action,shooter,shooter,first-person,sci-fi,sci-fi,arcade",1,88,2572,2007,8,21,Mar,"['sci-fi', 'first-person', 'shooter', 'arcade', 'action']"
GoldenEye 007,Nintendo64,1997-08-25,96,90.0,RareLtd.,"action,shooter,first-person,modern",4,21,668,1997,8,25,Lun,"['shooter', 'first-person', 'action', 'modern']"
Uncharted 2: Among Thieves,PlayStation3,2009-10-13,96,88.0,NaughtyDog,"actionadventure,modern,modern,linear",1,105,6716,2009,10,13,Mar,"['linear', 'actionadventure', 'modern']"
